round_number,date,time,location,home_team,away_team,home_team_score,away_team_score
15,2023-12-17,21:25,Highmark Stadium,BUF,DAL,31,10
15,2023-12-18,01:20,EverBank Stadium,JAX,BAL,7,23
15,2023-12-19,01:15,Lumen Field,SEA,PHI,20,17
16,2023-12-22,01:15,SoFi Stadium,LA,NO,30,22
16,2023-12-23,21:30,Acrisure Stadium,PIT,CIN,34,11
16,2023-12-24,01:00,SoFi Stadium,LAC,BUF,22,24
16,2023-12-24,18:00,Mercedes-Benz Stadium,ATL,IND,29,10
16,2023-12-24,18:00,Bank of America Stadium,CAR,GB,30,33
16,2023-12-24,18:00,NRG Stadium,HOU,CLE,22,36
16,2023-12-24,18:00,U.S. Bank Stadium,MIN,DET,24,30
16,2023-12-24,18:00,MetLife Stadium,NYJ,WAS,30,28
16,2023-12-24,18:00,Nissan Stadium,TEN,SEA,17,20
16,2023-12-24,21:05,Raymond James Stadium,TB,JAX,30,12
16,2023-12-24,21:25,Soldier Field,CHI,ARI,27,16
16,2023-12-24,21:25,Hard Rock Stadium,MIA,DAL,22,20
16,2023-12-25,01:15,Empower Field at Mile High,DEN,NE,23,26
16,2023-12-25,18:00,GEHA Field at Arrowhead Stadium,KC,LV,14,20
16,2023-12-25,21:30,Lincoln Financial Field,PHI,NYG,33,25
16,2023-12-26,01:15,Levi's® Stadium,SF,BAL,19,33
17,2023-12-29,01:15,Cleveland Browns Stadium,CLE,NYJ,37,20
17,2023-12-31,01:15,AT&T Stadium,DAL,DET,20,19
17,2023-12-31,18:00,M&T Bank Stadium,BAL,MIA,56,19
17,2023-12-31,18:00,Highmark Stadium,BUF,NE,27,21
17,2023-12-31,18:00,Soldier Field,CHI,ATL,37,17
17,2023-12-31,18:00,NRG Stadium,HOU,TEN,26,3
17,2023-12-31,18:00,Lucas Oil Stadium,IND,LV,23,20
17,2023-12-31,18:00,EverBank Stadium,JAX,CAR,26,0
17,2023-12-31,18:00,MetLife Stadium,NYG,LA,25,26
17,2023-12-31,18:00,Lincoln Financial Field,PHI,ARI,31,35
17,2023-12-31,18:00,Raymond James Stadium,TB,NO,13,23
17,2023-12-31,18:00,FedExField,WAS,SF,10,27
17,2023-12-31,21:05,Lumen Field,SEA,PIT,23,30
17,2023-12-31,21:25,Empower Field at Mile High,DEN,LAC,16,9
17,2023-12-31,21:25,GEHA Field at Arrowhead Stadium,KC,CIN,25,17
17,2024-01-01,01:20,U.S. Bank Stadium,MIN,GB,10,33
18,2024-01-06,21:30,M&T Bank Stadium,BAL,PIT,10,17
18,2024-01-07,01:15,Lucas Oil Stadium,IND,HOU,19,23
18,2024-01-07,18:00,Bank of America Stadium,CAR,TB,0,9
18,2024-01-07,18:00,Paycor Stadium,CIN,CLE,31,14
18,2024-01-07,18:00,Ford Field,DET,MIN,30,20
18,2024-01-07,18:00,Gillette Stadium,NE,NYJ,3,17
18,2024-01-07,18:00,Caesars Superdome,NO,ATL,48,17
18,2024-01-07,18:00,Nissan Stadium,TEN,JAX,28,20
18,2024-01-07,21:25,State Farm Stadium,ARI,SEA,20,21
18,2024-01-07,21:25,Lambeau Field,GB,CHI,17,9
18,2024-01-07,21:25,SoFi Stadium,LAC,KC,12,13
18,2024-01-07,21:25,Allegiant Stadium,LV,DEN,27,14
18,2024-01-07,21:25,MetLife Stadium,NYG,PHI,27,10
18,2024-01-07,21:25,Levi's® Stadium,SF,LA,20,21
18,2024-01-07,21:25,FedExField,WAS,DAL,10,38
18,2024-01-08,01:20,Hard Rock Stadium,MIA,BUF,14,21
